source_path,target_name,gamertag,game_mode,position_scope,role_group,source_game_mode_label,source_position_label,title_slug
/mnt/k/2026-05-01_17-21-34.mp4,NHL_24__JoeyFlopfish__3s__all_skaters.mp4,JoeyFlopfish,3s,all_skaters,skater,SEASONS EASHL 3V3,ALL SKATERS,nhl24
/mnt/k/2026-05-01_17-22-01.mp4,NHL_24__JoeyFlopfish__3s__center.mp4,JoeyFlopfish,3s,center,skater,SEASONS EASHL 3V3,CENTER,nhl24
/mnt/k/2026-05-01_17-22-39.mp4,NHL_24__JoeyFlopfish__3s__defenseMen.mp4,JoeyFlopfish,3s,defenseMen,skater,SEASONS EASHL 3V3,DEFENSEMEN,nhl24
/mnt/k/2026-05-01_17-23-07.mp4,NHL_24__JoeyFlopfish__3s__goalie.mp4,JoeyFlopfish,3s,goalie,goalie,SEASONS EASHL 3V3,GOALIE,nhl24
/mnt/k/2026-05-01_17-23-28.mp4,NHL_24__JoeyFlopfish__6s__all_skaters.mp4,JoeyFlopfish,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl24
/mnt/k/2026-05-01_17-23-55.mp4,NHL_24__JoeyFlopfish__6s__center.mp4,JoeyFlopfish,6s,center,skater,SEASONS EASHL 6V6,CENTER,nhl24
/mnt/k/2026-05-01_17-24-24.mp4,NHL_24__JoeyFlopfish__6s__leftWing.mp4,JoeyFlopfish,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,nhl24
/mnt/k/2026-05-01_17-24-54.mp4,NHL_24__JoeyFlopfish__6s__rightWing.mp4,JoeyFlopfish,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,nhl24
/mnt/k/2026-05-01_17-25-30.mp4,NHL_24__JoeyFlopfish__6s__defenseMen.mp4,JoeyFlopfish,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,nhl24
/mnt/k/2026-05-01_17-25-59.mp4,NHL_24__JoeyFlopfish__6s__goalie.mp4,JoeyFlopfish,6s,goalie,goalie,SEASONS EASHL 6V6,GOALIE,nhl24
/mnt/k/2026-05-01_17-28-08.mp4,NHL_24__HenryTheBobJ__3s__all_skaters.mp4,HenryTheBobJ,3s,all_skaters,skater,SEASONS EASHL 3V3,ALL SKATERS,nhl24
/mnt/k/2026-05-01_17-28-40.mp4,NHL_24__HenryTheBobJ__3s__defenseMen.mp4,HenryTheBobJ,3s,defenseMen,skater,SEASONS EASHL 3V3,DEFENSEMEN,nhl24
/mnt/k/2026-05-01_17-29-13.mp4,NHL_24__HenryTheBobJ__6s__all_skaters.mp4,HenryTheBobJ,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl24
/mnt/k/2026-05-01_17-29-52.mp4,NHL_24__HenryTheBobJ__6s__defenseMen.mp4,HenryTheBobJ,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,nhl24
/mnt/k/2026-05-01_17-30-19.mp4,NHL_24__HenryTheBobJ__6s__goalie.mp4,HenryTheBobJ,6s,goalie,goalie,SEASONS EASHL 6V6,GOALIE,nhl24
/mnt/k/2026-05-01_17-33-47.mp4,NHL_24__MrHomiecide__3s__center.mp4,MrHomiecide,3s,center,skater,SEASONS EASHL 3V3,CENTER,nhl24
/mnt/k/2026-05-01_17-34-17.mp4,NHL_24__MrHomiecide__3s__wing.mp4,MrHomiecide,3s,wing,skater,SEASONS EASHL 3V3,WING,nhl24
/mnt/k/2026-05-01_17-34-51.mp4,NHL_24__MrHomiecide__6s__all_skaters.mp4,MrHomiecide,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl24
/mnt/k/2026-05-01_17-35-20.mp4,NHL_24__MrHomiecide__6s__center.mp4,MrHomiecide,6s,center,skater,SEASONS EASHL 6V6,CENTER,nhl24
/mnt/k/2026-05-01_17-36-01.mp4,NHL_24__MrHomiecide__6s__leftWing.mp4,MrHomiecide,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,nhl24
/mnt/k/2026-05-01_17-36-32.mp4,NHL_24__MrHomiecide__6s__rightWing.mp4,MrHomiecide,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,nhl24
/mnt/k/2026-05-01_17-41-45.mp4,NHL_24__MrHomiecide__6s__defenseMen.mp4,MrHomiecide,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,nhl24
/mnt/k/2026-05-01_18-03-11.mp4,NHL_24__joseph4577__6s__all_skaters.mp4,joseph4577,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl24
/mnt/k/2026-05-01_18-22-51.mp4,NHL_24__joseph4577__6s__center.mp4,joseph4577,6s,center,skater,SEASONS EASHL 6V6,CENTER,nhl24
/mnt/k/2026-05-01_18-23-17.mp4,NHL_24__joseph4577__6s__leftWing.mp4,joseph4577,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,nhl24
/mnt/k/2026-05-01_18-24-56.mp4,NHL_24__joseph4577__6s__rightWing.mp4,joseph4577,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,nhl24
/mnt/k/2026-05-01_18-26-22.mp4,NHL_24__camrazz__3s__wing.mp4,camrazz,3s,wing,skater,SEASONS EASHL 3V3,WING,nhl24
/mnt/k/2026-05-01_18-27-06.mp4,NHL_24__camrazz__6s__all_skaters.mp4,camrazz,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,nhl24
/mnt/k/2026-05-01_18-27-44.mp4,NHL_24__camrazz__6s__leftWing.mp4,camrazz,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,nhl24
/mnt/k/2026-05-01_18-28-15.mp4,NHL_24__camrazz__6s__rightWing.mp4,camrazz,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,nhl24
/mnt/k/2026-05-01_18-28-47.mp4,NHL_24__camrazz__6s__defenseMen.mp4,camrazz,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,nhl24
/mnt/k/2026-05-01_18-30-20.mp4,NHL_24__AwesomeLion__3s__goalie.mp4,AwesomeLion,3s,goalie,goalie,SEASONS EASHL 3V3,GOALIE,nhl24
/mnt/k/2026-05-01_18-30-50.mp4,NHL_24__AwesomeLion__6s__rightWing.mp4,AwesomeLion,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,nhl24
/mnt/k/2026-05-01_18-31-26.mp4,NHL_24__AwesomeLion__6s__goalie.mp4,AwesomeLion,6s,goalie,goalie,SEASONS EASHL 6V6,GOALIE,nhl24
/mnt/k/2026-05-01_18-33-30.mp4,NHL_24__BoshBandrews__6s__leftWing.mp4,BoshBandrews,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,nhl24
